Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Observation-level footnotes,Source details,Value
2017,,ITPGRFA Secretariat ,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",,ITPGRFA Secretariat ,0
2018,,ITPGRFA Secretariat ,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",,ITPGRFA Secretariat ,0
2019,,ITPGRFA Secretariat ,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",,ITPGRFA Secretariat ,0
2020,,ITPGRFA Secretariat ,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",,ITPGRFA Secretariat ,0
2021,,ITPGRFA Secretariat ,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",,ITPGRFA Secretariat ,0
2022,,ITPGRFA Secretariat ,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",,ITPGRFA Secretariat ,0
2023,,ITPGRFA Secretariat ,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",,ITPGRFA Secretariat ,0
2024,,ITPGRFA Secretariat ,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",,ITPGRFA Secretariat ,0
2012,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2013,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2014,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2015,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2016,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2017,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2018,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2019,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2020,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2021,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2022,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2023,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2024,Cumulative value.,ITPGRFA Secretariat ,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1
2012,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,350
2013,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,411
2014,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,496
2015,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,591
2016,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,742
2017,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1080
2018,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1373
2019,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1614
2020,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1903
2021,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,1950
2022,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,2027
2023,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,2085
2024,Cumulative value.,ITPGRFA Secretariat ,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],Cumulative value.,ITPGRFA Secretariat ,2112
