Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Value
2004,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2005,E,E,,Integrated Household Budget Survey,Average income of small-scale food producers [2.3.2],,844.76
2006,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2007,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2008,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2009,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2010,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2011,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2012,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2013,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2014,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2015,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2016,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2017,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2018,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2019,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2020,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2021,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2022,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],,NaN
2001,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2004,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2005,E,E,,Integrated Household Budget Survey,Average income of small-scale food producers [2.3.2],Female,746.46
2006,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2007,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2008,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2009,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2010,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2011,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2012,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2013,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2014,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2015,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2016,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2017,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2018,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2019,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2020,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2021,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2022,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Female,NaN
2001,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2004,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2005,E,E,,Integrated Household Budget Survey,Average income of small-scale food producers [2.3.2],Male,900.56
2006,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2007,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2008,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2009,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2010,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2011,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2012,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2013,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2014,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2015,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2016,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2017,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2018,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2019,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2020,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2021,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
2022,O,_X,NaN = A figure was not provided,NA,Average income of small-scale food producers [2.3.2],Male,NaN
