Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Source details,Label for custom breakdown,Value
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 232,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Eritrea,16.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 262,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Djibouti,19.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 262,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Djibouti,32.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 262,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Djibouti,25.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 262,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Djibouti,21.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 262,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Djibouti,17.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 262,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Djibouti,10.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 356,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",India,1159.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 356,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",India,1245.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 356,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",India,1399.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 356,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",India,1589.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 356,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",India,1633.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 356,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",India,1295.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 36,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Australia,2.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 36,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Australia,2.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 36,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Australia,3.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 36,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Australia,1.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 36,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Australia,2.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 360,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Indonesia,1094.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 360,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Indonesia,1251.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 360,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Indonesia,1180.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 360,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Indonesia,766.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 360,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Indonesia,1110.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 360,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Indonesia,2140.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 364,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Iran (Islamic Republic of),1.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 364,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Iran (Islamic Republic of),1.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 364,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Iran (Islamic Republic of),1.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 364,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Iran (Islamic Republic of),0.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 364,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Iran (Islamic Republic of),0.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 364,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Iran (Islamic Republic of),0.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 404,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Kenya,2298.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 404,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Kenya,2339.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 404,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Kenya,2154.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 404,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Kenya,1533.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 404,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Kenya,1586.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 404,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Kenya,1396.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 450,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Madagascar,23.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 450,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Madagascar,34.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 450,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Madagascar,53.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 450,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Madagascar,44.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 450,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Madagascar,58.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 450,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Madagascar,144.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 458,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Malaysia,41.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 458,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Malaysia,26.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 458,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Malaysia,27.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 458,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Malaysia,17.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 458,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Malaysia,16.0
