Year,UNIT_MULT,SDG Series,Unit of measure,Unit multiplier,Value
2024,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2006,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2007,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2008,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2009,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2010,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2011,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2012,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2013,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2014,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2015,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2016,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2017,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2019,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,9743461.0
2020,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2021,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2022,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2023,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2024,0,"Direct economic loss to other damaged or destroyed productive assets attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2005,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,47.1
2006,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,14.04225
2007,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,0.0
2008,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,17.517825
2009,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,248.594513
2010,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,210.136388
2011,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,8.22825
2012,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,69.54
2013,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,6.181778
2014,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,8.289488
2015,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,101.4525
2016,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,11.123325
2017,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,0.12225
2019,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,1083.612417
2020,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,8.601632
2021,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,3.958615
2022,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,17.940496
2023,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,13.002019
2024,6,"Direct economic loss attributed to disasters [1.5.2,11.5.2]",USD,Millions,0.0
2005,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,47100000.0
2006,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,14042250.0
2007,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,0.0
2008,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,17517825.0
2009,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,248594513.0
2010,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,210136388.0
2011,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,8228250.0
2012,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,69540000.0
2013,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,5898638.0
2014,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,8289488.0
2015,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,101452500.0
2016,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,11123325.0
2017,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,122250.0
2019,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,707689580.0
2020,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,8452540.0
2021,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,3958615.0
2022,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,17940496.0
2023,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,13002019.0
2024,0,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,Units,0.0
2005,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0017903299376615
2006,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0004733129971686
2007,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0
2008,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0004266500645412
2009,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0058704161569886
2010,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0046279431793155
2011,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0001767425625604
2012,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0012328257131207
2013,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0001001860201286
2014,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0001212002046933
2015,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0014417010089526
2016,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0001486757511762
2017,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,1.4914902702373e-06
2019,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0108006978809505
2020,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,8.52389408593626e-05
2021,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,3.60283503981798e-05
2022,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0001577866157729
2023,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0001193689028028
2024,0,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",Percent,Units,0.0
