Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",207.388388
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",221.358977
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",209.013751
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",219.989071
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",234.902889
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",225.718047
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",193.056081
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",288.185781
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",196.88273
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",255.466911
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",234.040006
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",240.268591
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",302.870558
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",207.688932
2010,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",205.292
2011,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",218.094
2012,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",207.024
2013,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",215.977
2014,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",226.983
2015,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",221.27
2016,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",187.749
2017,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",280.179
2018,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",189.93
2019,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",250.05
2020,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",228.108
2021,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",230.681
2022,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",288.67
2023,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",196.94
