Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Source details,Value
2011,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.0072
2012,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.00973
2013,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.00304
2015,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.60404
2016,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.60749
2017,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.51641
2018,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.20789
2019,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.11102
2021,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.04866
2022,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,Units,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",0.07143
2011,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,0.09899
2012,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,0.13625
2013,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,0.0431
2015,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,9.04044
2016,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,9.27193
2017,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,8.00652
2018,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,3.3361
2019,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,1.8368
2021,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,0.83024
2022,0,UNEP / WESR,Fossil-fuel subsidies (consumption and production) per capita [12.c.1],USD,Units,UNEP / WESR,1.25388
