Year,SDG Series,Value
2012,Regulatory capital to assets (%) [10.5.1],11.35011474
2013,Regulatory capital to assets (%) [10.5.1],12.24081465
2014,Regulatory capital to assets (%) [10.5.1],12.68303924
2015,Regulatory capital to assets (%) [10.5.1],12.36161976
2016,Regulatory capital to assets (%) [10.5.1],12.91155412
2017,Regulatory capital to assets (%) [10.5.1],11.65846261
2018,Regulatory capital to assets (%) [10.5.1],13.18469939
2019,Regulatory capital to assets (%) [10.5.1],12.76066699
2020,Regulatory capital to assets (%) [10.5.1],12.26320029
2021,Regulatory capital to assets (%) [10.5.1],12.07012044
2022,Regulatory capital to assets (%) [10.5.1],11.43175273
2023,Regulatory capital to assets (%) [10.5.1],10.43340793
2006,Non-performing loans net of provisions to capital (%) [10.5.1],-12.58634081
2007,Non-performing loans net of provisions to capital (%) [10.5.1],4.887236356
2008,Non-performing loans net of provisions to capital (%) [10.5.1],25.09467958
2009,Non-performing loans net of provisions to capital (%) [10.5.1],16.91864706
2010,Non-performing loans net of provisions to capital (%) [10.5.1],9.374276487
2011,Non-performing loans net of provisions to capital (%) [10.5.1],11.39815687
2012,Non-performing loans net of provisions to capital (%) [10.5.1],11.7813257
2013,Non-performing loans net of provisions to capital (%) [10.5.1],13.22098175
2014,Non-performing loans net of provisions to capital (%) [10.5.1],14.59519166
2015,Non-performing loans net of provisions to capital (%) [10.5.1],17.55685159
2016,Non-performing loans net of provisions to capital (%) [10.5.1],17.51073903
2017,Non-performing loans net of provisions to capital (%) [10.5.1],24.49536443
2018,Non-performing loans net of provisions to capital (%) [10.5.1],30.05347908
2019,Non-performing loans net of provisions to capital (%) [10.5.1],21.29413854
2020,Non-performing loans net of provisions to capital (%) [10.5.1],21.61407281
2021,Non-performing loans net of provisions to capital (%) [10.5.1],18.36253901
2022,Non-performing loans net of provisions to capital (%) [10.5.1],18.40515221
2023,Non-performing loans net of provisions to capital (%) [10.5.1],25.67534026
2006,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],15.91442324
2007,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.0741512
2008,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.86543429
2009,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.37007507
2010,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.65253967
2011,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.31332532
2012,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.10978405
2013,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],19.42278937
2014,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],15.93248855
2015,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.19751768
2016,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.93957363
2017,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],14.6918527
2018,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.22891761
2019,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.7845994
2020,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.72250472
2021,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.74187649
2022,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.14666126
2023,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],15.09908652
2008,Net open position in foreign exchange to capital (%) [10.5.1],18.43557648
2009,Net open position in foreign exchange to capital (%) [10.5.1],-6.299474658
2010,Net open position in foreign exchange to capital (%) [10.5.1],12.47797489
2011,Net open position in foreign exchange to capital (%) [10.5.1],9.841371421
2012,Net open position in foreign exchange to capital (%) [10.5.1],5.753769809
2013,Net open position in foreign exchange to capital (%) [10.5.1],-3.073972117
2014,Net open position in foreign exchange to capital (%) [10.5.1],4.365833832
2015,Net open position in foreign exchange to capital (%) [10.5.1],2.728629777
2016,Net open position in foreign exchange to capital (%) [10.5.1],6.718624612
2017,Net open position in foreign exchange to capital (%) [10.5.1],2.366213837
2018,Net open position in foreign exchange to capital (%) [10.5.1],3.192533262
2019,Net open position in foreign exchange to capital (%) [10.5.1],-0.306208187
2020,Net open position in foreign exchange to capital (%) [10.5.1],-0.034986709
2021,Net open position in foreign exchange to capital (%) [10.5.1],-0.488892207
2022,Net open position in foreign exchange to capital (%) [10.5.1],-1.615288565
2023,Net open position in foreign exchange to capital (%) [10.5.1],-0.211955556
