Year,SDG Series,Type of product,Value
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94179
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,2.34171
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,2.34171
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,2.34171
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,2.34171
2023,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,2.34171
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.18236
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,11.02251
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.9187
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.91869
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.9187
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.9104
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.91401
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.84432
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.8433
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.68049
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.87936
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.82863
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.82805
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.82872
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.82847
2023,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.82847
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.50955
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.473
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.50263
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.53535
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.50573
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.5066
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.49012
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.52017
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.49338
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.52897
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.5735
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.45553
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.45152
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.41028
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.18598
2023,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.18158
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,7.74104
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.78146
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.80909
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.73496
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.69004
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.6855
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.67631
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.67405
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.85062
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.714
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.85547
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.61844
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.55338
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.55372
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.55182
2023,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,6.54982
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,3.57004
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,2.09436
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.52817
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.51909
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.49151
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.48309
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.47509
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.43451
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.42718
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.47543
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.42031
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.25034
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.24988
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.2502
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.18989
2023,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,1.18933
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,2.30065
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,2.062
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.95137
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.93346
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.83525
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.82576
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.81769
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.80622
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.79504
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.82383
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,0.76486
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.27606
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.27578
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.27598
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.27178
2023,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,1.2706
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.02823
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.30816
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48612
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48461
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48461
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48461
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48461
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48461
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48461
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48461
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.48461
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.33613
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.33613
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.33613
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.33613
2023,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,0.33613
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,7.35359
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.19018
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.08787
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.09007
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.09007
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.08229
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.08677
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.01706
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.01655
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.01598
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,2.01014
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,1.9891
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,1.9888
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,1.98908
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,1.98826
2023,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,1.98829
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.72775
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.78129
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.40239
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.4042
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.48656
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.50074
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.48658
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.47665
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.47654
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.47986
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.47694
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.42352
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.42308
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.42293
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.36928
2023,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,0.36961
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,4.46614
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.9629
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.5852
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.67146
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.623
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.61888
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.60991
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.60206
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.45782
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.34897
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.47837
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.39636
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.3661
2021,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.36753
2022,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.36703
2023,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,3.36703
